city,date,retail,grocery,parks,transit,work,home
Modena,2020-06-18,-16,-14,54,-28,-24,6
Modena,2020-06-19,-18,-10,42,-25,-26,6
Modena,2020-06-20,-18,-17,50,-14,-16,-1
Modena,2020-06-21,-27,-22,49,-5,6,-3
Modena,2020-06-22,-17,-13,64,-26,-26,5
Modena,2020-06-23,-16,-11,68,-28,-26,6
Modena,2020-06-24,-15,-11,63,-26,-24,6
Modena,2020-06-25,-16,-12,53,-27,-24,5
Modena,2020-06-26,-18,-10,50,-21,-26,4
Modena,2020-06-27,-21,-18,43,-11,-19,-2
Modena,2020-06-28,-28,-23,34,-6,6,-4
Modena,2020-06-29,-16,-11,60,-22,-24,4
Modena,2020-06-30,-13,-11,64,-32,-24,5
Modena,2020-07-01,-15,-12,33,-35,-24,5
Modena,2020-07-02,-14,-12,45,-32,-24,4
Modena,2020-07-03,-20,-13,1,-35,-26,6
Modena,2020-07-04,-17,-19,34,-21,-19,-1
Modena,2020-07-05,-25,-20,40,-14,2,-5
Modena,2020-07-06,-15,-13,59,-28,-25,3
Modena,2020-07-07,-14,-11,52,-33,-25,4
Modena,2020-07-08,-13,-15,59,-31,-23,3
Modena,2020-07-09,-15,-15,52,-31,-24,4
Modena,2020-07-10,-16,-12,41,-28,-26,3
Modena,2020-07-11,-22,-21,5,-22,-20,-1
Modena,2020-07-12,-22,-18,37,-9,5,-4
Modena,2020-07-13,-14,-13,68,-26,-25,2
Modena,2020-07-14,-12,-14,74,-30,-25,3
Modena,2020-07-15,-11,-13,55,-32,-24,3
Modena,2020-07-16,-12,-15,62,-30,-24,3
