date,daily_cases,med_temp,med_hum,pm25,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-07-04,4,21.25,72.351955340768,25,-23,-14,25,-24,-6,-2,4.26335578722634,0.978250862947299,0.881662926006083,21
2020-07-05,5,23.25,72.6710974454133,21,-29,-26,16,-24,9,-6,4.23526513629133,0.985398640162443,0.889323272284298,21
2020-07-06,1,24.65,77.5089945358229,30,-17,-12,33,-34,-32,5,4.21398124399278,0.994629972074581,0.899410024227886,21
2020-07-07,0,21.95,72.8202296960936,50,-14,-9,41,-32,-31,6,4.19958616739689,1.0011029640357,0.887536818032485,21
2020-07-08,7,22.85,69.6553059163887,30,-15,-10,45,-34,-29,6,4.19239183171557,1.00974473940132,0.893504553016925,21
2020-07-09,6,24.45,76.5928522578785,46,-17,-12,38,-32,-30,5,4.19193333275932,1.01598247633227,0.92595366360934,21
2020-07-10,2,23.7,84.0083469879468,57,-22,-13,22,-34,-31,6,4.19807084018203,1.02265959947675,0.964753943366758,21
2020-07-11,1,23.4,93.1704796798926,61,-26,-17,14,-27,-5,-1,4.21071847012217,1.03062375191363,0.965005479212516,21
2020-07-12,3,21.2,72.1780842722753,53,-28,-24,9,-25,13,-5,4.22946842306317,1.033514835892,0.979299607737903,21
2020-07-13,4,21.05,77.5685233332776,25,-17,-11,30,-35,-31,5,4.25489096711566,1.04020392674316,1.01565948064369,21
2020-07-14,1,21,74.2845876798881,NaN,-15,-12,39,-33,-30,5,4.28594338502636,1.04486956699037,1.03667911794012,21
2020-07-15,0,20.6,84.1479795170762,NaN,-15,-11,23,-35,-29,6,4.32243528463784,1.04767220052838,1.04609195165578,21
2020-07-16,1,22.75,83.2401278777131,NaN,-14,-12,37,-32,-29,5,4.36512213199813,1.04823864087122,1.05816224145825,21
2020-07-17,8,22.4,75.3419362285743,57,-19,-13,33,-33,-30,5,4.41318852990361,1.05012091620603,1.08199941033684,21
2020-07-18,2,20,81.5770741264001,46,-23,-17,17,-27,-5,-2,4.46501010920706,1.05311316622285,1.10084955750352,21
2020-07-19,3,22.4,76.5098281505304,30,-28,-27,14,-23,14,-6,4.52058093024808,1.05384201170571,1.14728665323759,21
2020-07-20,0,23.3,89.9813790061395,42,-17,-14,28,-35,-31,4,4.58147098768961,1.05394993685361,1.21129100806531,21
2020-07-21,3,24,93.9682197254683,46,-16,-13,35,-35,-29,5,4.64786067958087,1.05619044191432,1.23357340783673,21
2020-07-22,1,23.2,87.1552927428936,55,-19,-15,17,-37,-29,6,4.719251572588,1.05666809967388,1.26262081645177,21
