date,pm25,pm10,o3,so2
2018-03-16,59,5,16,10
2018-03-17,21,12,6,19
2018-03-18,38,3,12,16
2018-03-19,13,8,8,16
2018-03-20,25,10,19,10
2018-03-21,30,6,35,3
2018-03-22,21,8,27,12
2018-03-23,30,6,23,15
2018-03-24,13,19,21,15
2018-03-25,55,19,23,11
2018-03-26,61, ,7,27
2018-03-28,53,32,40,7
2018-03-30,61, ,18,9
2017-10-03,63,47,2,16
2017-10-04,97,10,2,10
2017-10-05,21,20,1,14
2017-10-06,38,8,29,2
2017-10-07,17,8,6,17
2017-10-08,5,11,5,12
2017-10-09,30,12,2,18
2017-10-10,30,18,5,12
2017-10-11,50,28,3,20
2017-10-12,74,23,5,15
2017-10-13,63,23,4,15
2017-10-14,59,23,5,13
2017-10-15,59,17,6,12
2017-10-16,53,27,3,16
2017-10-17,50,28,4,18
2017-10-18,61,30,15,11
2017-10-19,65,35,7,16
2017-10-20,72,32,6,16
2017-10-21,78,52,3,19
2017-10-22,119,23,2,19
2017-10-23,68,1,20,7
2017-10-24,5,8,25,6
2017-10-25,30,18,8,16
2017-10-26,50,22,4,13
2017-10-27,59,15,2,15
2017-10-28,42,15,25,7
2017-10-29,46,12,7,18
2017-10-30,38,9,31,3
2017-10-31,34,20,21,8
2017-11-01,53,20,6,16
2017-11-02,55,23,3,16
2017-11-03,63,30,8,14
2017-11-04,72,29,2,20
2017-11-05,72,27, ,21
2017-11-06,74,4,16,10
2017-11-07,13,10,4,17
2017-11-08,30,11,8,11
2017-11-09,38,15,6,7
2017-11-10,46,20,3,13
2017-11-11,46,22,5,10
2017-11-12,55,18,2,11
2017-11-13,57,2,25,3
2017-11-14,9,6,24,5
2017-11-15,21,12,16,11
2017-11-16,34,21,6,16
2017-11-17,55,24,3,19
2017-11-18,63,21,7,16
2017-11-19,61,10,10,13
2017-11-20,30,16,22,6
2017-11-21,42, ,3,25
2017-11-23,72,30,1,26
2017-11-24,74, ,2,18
2017-11-27,13,14,13,15
2017-11-28,30,25,1,26
2017-11-29,63,27, ,29
2017-11-30,70,13,13,13
2017-12-01,46,14,8,17
2017-12-02,38, , ,23
2017-12-06,80,28,6,25
2017-12-07,70,33,5,22
2017-12-08,78,31,1,35
2017-12-09,80,3,17,12
2017-12-10,9,11,13,15
2017-12-11,30,20,3,24
2017-12-12,65,30, ,31
2017-12-13,87,16,9,17
2017-12-14,55,25,2,26
2017-12-15,72,31,1,32
2017-12-16,82,15,8,18
2017-12-17,53,17,5,21
2017-12-18,57,15,5,22
2017-12-19,42,28,4,27
2017-12-20,68,33,2,35
2017-12-21,80,33,2,30
2017-12-22,78,43,1,40
2017-12-23,104,43,1,42
2017-12-24,112,17,4,24
2017-12-25,57,24,4,20
2017-12-26,70,30,1,26
2017-12-27,85, , ,30
2017-12-29,42,8,22,5
2017-12-30,21,16,6,22
2017-12-31,57,30,4,22
2018-01-01,87,48,1,24
2017-07-02,17,6,16,4
2017-07-03,17,10,21,4
2017-07-04,25,13,30,5
2017-07-05,42,18,32,6
2017-07-06,53,20,35,7
2017-07-07,55,28,38,12
2017-07-08,68, ,30,5
2017-07-10,34,16,42,2
2017-07-11,46,13,24,7
2017-07-12,42,15,27,8
2017-07-13,46,12,30,6
2017-07-14,30,7,13,14
2017-07-15,30,6,36,2
2017-07-16,5,8,31,3
2017-07-17,5, ,35,6
2017-07-30,59,6,43,4
2017-07-31,25,13,25,4
2017-08-01,30,24,26,8
2017-08-02,57,29,36,9
2017-08-03,61,30,32,11
2017-08-04,65, ,41,6
2017-08-05,65,21,45,3
2017-08-06,57,8,27,4
2017-08-07,25,8,21,3
2017-08-08,13,13,26,8
2017-08-09,34,14,32,4
2017-08-10,46,14,18,6
2017-08-11,38,6,28,3
2017-08-12,9,6,10,6
2017-08-14,9,10,25,5
2017-08-15,34,13,25,4
2017-08-16,42,19,23,8
2017-08-17,53,20,24,7
2017-08-18,53,21,32,7
2017-08-19,59,8,22,4
2017-08-20,25,6,20,3
2017-08-21,13,9,26,3
2017-08-22,25,11,23,5
2017-08-23,34,20,27,4
2017-08-24,53,19,7,7
